No. ,Jenis Pertanyaan,Pertanyaan,Jawaban,Format
25,Hak Asasi Manusia,Bagaimana pengaturan mengenai hak-hak tersangka atau terdakwa dalam KUHAP?,"Berdasarkan UU No. 8 tahun 1981 tentang KItab Undang-undang Hukum Acara Pidana (KUHAP), hak-hak tersangka dan terdakwa diatur dalam:

Pasal 50:
(1) Tersangka berhak segera mendapat pemeriksaan oleh penyidik dan selanjutnya dapat diajukan kepada penuntut umum.
(2) Tersangka berhak perkaranya segera dimajukan ke pengadilan oleh penuntut umum.
(3) Terdakwa berhak segera diadili oleh pengadilan.

Pasal 51:
Untuk mempersiapkan pembelaan :
1. Tersangka berhak untuk diberitahukan dengan jelas dalam bahasa yang dimengerti olehnya tentang apa yang disangkakan kepadanya pada waktu pemeriksaan dimulai;
2. Terdakwa berhak untuk diberitahukan dengan jelas dalam bahasa yang dimengerti olehnya tentang apa yang didakwakan kepadanya.

Pasal 52:
Dalam pemeriksaan pada tingkat penyidikan dan pengadilan, tersangka atau terdakwa berhak memberikan keterangan secara bebas kepada penyidik atau hakim.

Pasal 53:
(1) Dalam pemeriksaan pada tingkat penyidikan dan pengadilan, tersangka atau terdakwa berhak untuk setiap waktu mendapat bantuan juru bahasa sebagaimana dimaksud dalam Pasal 177.
(2) Dalam hal tersangka atau terdakwa bisu dan atau tuli diberlakukan ketentuan sebagaimana dimaksud dalam Pasal 178.

Pasal 54:
Guna kepentingan pembelaan, tersangka atau terdakwa berhak mendapat bantuan hukum dari seorang atau lebih penasihat hukum selama dalam waktu dan pada setiap tingkat pemeriksaan, menurut tatacara yang ditentukan dalam undang-undang ini.


Pasal 55:
Untuk mendapatkan penasihat hukum tersebut dalam Pasal 54, tersangka atau terdakwa berhak memilih sendiri penasihat hukumnya.

Pasal 56:
(1) Dalam hal tersangka atau terdakwa disangka atau didakwa melakukan tindak pidana yang diancam dengan pidana mati atau ancaman pidana lima belas tahun atau lebih atau bagi mereka yang tidak mampu yang diancam dengan pidana lima tahun atau lebih yang tidak mempunyai penasihat hukum sendiri, pejabat yang bersangkutan pada semua tingkat pemeriksaan dalam proses peradilan wajib menunjuk penasihat hukum bagi mereka.
(2) Setiap penasihat hukum yang ditunjuk untuk bertindak sebagaimana dimaksud dalam ayat (1), memberikan bantuannya dengan cuma-cuma.

Pasal 57:
(1) Tersangka atau terdakwa yang dikenakan penahanan berhak menghubungi penasihat hukumnya sesuai dengan ketentuan undang-undang ini.
(2) Tersangka atau terdakwa yang berkebangsaan asing yang dikenakan penahanan berhak menghubungi dan berbicara dengan perwakilan negaranya dalam menghadapi proses perkaranya.

Pasal 58:
Tersangka atau terdakwa yang dikenakan penahanan berhak menghubungi dan menerima kunjungan dokter pribadinya untuk kepentingan kesehatan baik yang ada hubungannya dengan proses perkara maupun tidak.

Pasal 59:
Tersangka atau terdakwa yang dikenakan penahanan berhak diberitahukan tentang penahanan atas dirinya oleh pejabat yang berwenang, pada semua tingkat pemeriksaan dalam proses peradilan, kepada keluarganya atau orang lain yang serumah dengan tersangka atau terdakwa ataupun orang lain yang bantuannya dibutuhkan oleh tersangka atau terdakwa untuk mendapatkan bantuan hukum atau jaminan bagi penangguhannya.

Pasal 60:
Tersangka atau terdakwa berhak menghubungi dan menerima kunjungan dari pihak yang mempunyai hubungan kekeluargaan atau lainnya dengan tersangka atau terdakwa guna mendapatkan jaminan bagi penangguhan penahanan ataupun untuk usaha mendapatkan bantuan hukum.

Pasal 61:
Tersangka atau terdakwa berhak secara langsung atau dengan perantaraan penasihat hukumnya menghubungi dan menerima kunjungan sanak keluarganya dalam hal yang tidak ada hubungannya dengan perkara tersangka atau terdakwa untuk kepentingan pekerjaan atau untuk kepentingan kekeluargaan.

Pasal 62:
(1) Tersangka atau terdakwa berhak mengirim surat kepada penasihat hukumnya, dan menerima surat dari penasihat hukumnya dan sanak keluarga setiap kali yang diperlukan olehnya, untuk keperluan itu bagi tersangka atau terdakwa disediakan alat tulis menulis.
(2) Surat-menyurat antara tersangka atau terdakwa dengan penasihat hukumnya atau sanak keluarganya tidak diperiksa oleh penyidik, penuntut umum, hakim atau pejabat rumah tahanan negara kecuali jika terdapat cukup alasan untuk diduga bahwa surat menyurat itu disalahgunakan.
(3) Dalam hal surat untuk tersangka atau terdakwa itu ditilik atau diperiksa oleh penyidik, penuntut umum, hakim atau pejabat rumah tahanan negara, hal itu diberitahukan kepada tersangka atau terdakwa dan surat tersebut dikirim kembali kepada pengirimnya setelah dibubuhi cap yang berbunyi ""telah ditilik"".

Pasal 63:
Tersangka atau terdakwa berhak menghubungi dan menerima kunjungan dari rohaniwan.

Pasal 64:
Terdakwa berhak untuk diadili di sidang pengadilan yang terbuka untuk umum.

Pasal 65:
Tersangka atau terdakwa berhak untuk mengusahakan dan mengajukan saksi dan atau seseorang yang memiliki keahlian khusus guna memberikan keterangan yang menguntungkan bagi dirinya.

Pasal 66:
Tersangka atau terdakwa tidak dibebani kewajiban pembuktian.

Pasal 67:
Terdakwa atau penuntut umum berhak untuk minta banding terhadap putusan pengadilan tingkat pertama kecuali terhadap putusan bebas, lepas dari segala tuntutan hukum yang menyangkut masalah kurang tepatnya penerapan hukum dan putusan pengadilan dalam acara cepat.

Pasal 68:
Tersangka atau terdakwa berhak menuntut ganti kerugian dan rehabilitasi sebagaimana diatur dalam Pasal 95 dan selanjutnya.","'Bagaimana pengaturan mengenai hak-hak tersangka atau terdakwa dalam KUHAP?',"
26,Penyidikan dan Penuntutan,Bagaimana prosedur penyidikan dalam KUHAP ini diatur?,"Berikut merupakan prosedur penyidikan tindak pidana secara umum:

1. Pemeriksaan Awal
     - Penyidik melakukan pemeriksaan terhadap tersangka dan saksi untuk mendapatkan keterangan yang diperlukan.
     - Penyidik juga dapat melakukan penggeledahan dan penyitaan barang bukti jika diperlukan.

2. Penahanan
     - Penyidik dapat menahan tersangka jika terdapat cukup bukti yang kuat.
     - Penahanan dapat dilakukan dalam bentuk penahanan rumah, penahanan kota, atau penahanan dalam rumah tahanan negara (Rutan).

3. Pemberitahuan Kepada Penuntut Umum
     - Setelah selesai melakukan penyidikan, penyidik wajib menyampaikan pemberitahuan kepada penuntut umum mengenai hasil penyidikan.

4. Penyerahan Berkas Perkara
     - Penyidik menyerahkan berkas perkara kepada penuntut umum dalam bentuk berkas perkara tahap pertama (P-18).
     - Penuntut umum meneliti berkas perkara dan memberikan petunjuk kepada penyidik jika terdapat kekurangan (P-19).
     - Penyidik melengkapi berkas perkara sesuai petunjuk dan menyerahkan kembali kepada penuntut umum (P-21).

5. Penerbitan Surat Dakwaan
     - Setelah berkas perkara dinyatakan lengkap, penuntut umum menyusun surat dakwaan dan mengajukan perkara ke pengadilan untuk disidangkan.

6. Sidang Pengadilan
     - Perkara dilanjutkan ke proses persidangan di pengadilan untuk diadili oleh hakim.","'Bagaimana prosedur penyidikan dalam KUHAP ini diatur?',"
27,Penyidikan dan Penuntutan,Bagaimana KUHP ini mengatur proses penuntutan terhadap tindak pidana?,"Tahapan Penuntutan
1. Penerimaan Berkas Perkara: Penuntut umum menerima berkas perkara dari penyidik.
2. Penyusunan Dakwaan: Penuntut umum menyusun surat dakwaan berdasarkan bukti-bukti yang ada.
3. Pelimpahan Perkara ke Pengadilan: Penuntut umum melimpahkan perkara ke pengadilan negeri yang berwenang beserta surat dakwaan.
4. Persidangan di Pengadilan: Dilakukan pemeriksaan terhadap terdakwa, saksi-saksi, dan barang bukti.
5. Tuntutan (Requisitoir): Penuntut umum menyampaikan tuntutan pidana terhadap terdakwa.
6. Pembelaan (Pledoi): Terdakwa dan/atau kuasa hukumnya memberikan pembelaan.
7. Replik dan Duplik: Penuntut umum memberikan tanggapan terhadap pembelaan terdakwa (replik), dan terdakwa/kuasa hukumnya memberikan tanggapan kembali (duplik).
8. Putusan Hakim: Hakim membacakan putusan yang berisi pertimbangan hukum, fakta yang terbukti, serta sanksi atau hukuman yang dijatuhkan kepada terdakwa jika dinyatakan bersalah.
9. Upaya Hukum: Terdakwa atau penuntut umum dapat mengajukan banding, kasasi, atau peninjauan kembali jika tidak puas dengan putusan pengadilan.","'Bagaimana KUHP ini mengatur proses penuntutan terhadap tindak pidana?',"
28,Persidangan dan Pembuktian,Apa saja aturan mengenai persidangan dalam KUHAP?,"Berikut aturan mengenai persidangan dalam Kitab Undang-undang Hukum Acara Pidana:
1. Hak Terdakwa:
     - Pasal 54: Mengatur hak terdakwa untuk mendapatkan bantuan hukum.
     - Pasal 152: Mengatur hak terdakwa untuk hadir dalam persidangan.

2. Prosedur Persidangan:
     - Pasal 153: Mengatur tentang persidangan terbuka untuk umum.
     - Pasal 154: Mengatur tentang persidangan tertutup untuk kasus tertentu.
     - Pasal 160: Mengatur tentang pemeriksaan saksi dan barang bukti di persidangan.

3. Hakim dan Putusan:
     - Pasal 182: Mengatur bahwa putusan harus didasarkan pada fakta yang terungkap di persidangan.
     - Pasal 233: Mengatur hak terdakwa untuk mengajukan banding.

4. Pembelaan dan Pledoi:
     - Pasal 182 ayat (6): Mengatur bahwa terdakwa atau penasihat hukumnya berhak menyampaikan pembelaan setelah tuntutan jaksa.

5. Penegakan Hak Asasi Manusia (HAM):
     - Pasal 18: Melarang penyiksaan atau perlakuan yang merendahkan martabat manusia selama proses hukum.
     - Pasal 50: Mengatur hak atas peradilan yang cepat dan adil.

6. Penyelesaian alternatif:
     - Pasal 100: Mengatur tentang penggabungan perkara perdata dan pidana.
     - Pasal 108: Mengatur tentang program diversi untuk tindak pidana ringan atau yang melibatkan anak.

7. Penggunaan Teknologi:
     - Pasal 154 ayat (2): Mengatur tentang kemungkinan persidangan dilakukan secara elektronik dalam kondisi tertentu.

8. Keamanan dan Ketertiban Persidangan:
     - Pasal 153 ayat (3): Mengatur pengamanan dan ketertiban dalam persidangan.
     - Pasal 153 ayat (4): Mengatur sanksi bagi pelanggaran ketertiban dalam persidangan.","'Apa saja aturan mengenai persidangan dalam KUHAP?',"
29,Persidangan dan Pembuktian,Bagaimana aturan mengenai pembuktian dalam persidangan pidana menurut KUHP ini?,"Pembuktian menurut Kitab Undang-undang Hukum Acara Pidana berdasarkan pasal 183 KUHAP, sistem yang dianut oleh KUHAP adalah sistem pembuktian  menurut Undang-Undang secara  negatif  dimana  dalam  isinya berbunyi: 
""Hakim tidak boleh menjatuhkan pidana kepada seseorang kecuali apabila dengan sekurang-kurangnya  dua alat bukti yang sah ia memperoleh keyakinan bahwa suatu tindakan pidana benar-benar terjadi dan bahwa terdakwalah yang bersalah melakukannya."" 
Dengan kata lain untuk menjatuhkan pidana kepada terdakwa harus memenuhi hal-hal berikut:
- Dua alat bukti sah.
- Ada keyakinan hakim akan terjadinya tindak pidana dan terdakwalah yang bersalah melakukannya.","'Bagaimana aturan mengenai pembuktian dalam persidangan pidana menurut KUHP ini?',"
30,Penjatuhan Hukuman,Bagaimana ketentuan mengenai penjatuhan hukuman dalam KUHP ini?,"Ketentuan Pasal 64 UU No. 1 Tahun 2023 menerangkan bahwa sanksi pidana dalam KUHP baru atau UU 1/2023 terdiri atas pidana pokok, pidana tambahan, dan pidana yang bersifat khusus untuk tindak pidana tertentu yang ditentukan dalam undang-undang.

Masih terkait pidana pokok, ketentuan Pasal 65 ayat (2) UU 1/2023 menerangkan bahwa urutan pidana tersebut menentukan berat atau ringannya pidana. Kemudian, terkait penjatuhannya, bagian penjelasan Pasal 65 ayat (2) UU 1/2023 menerangkan bahwa hakim mempunyai pilihan untuk menjatuhkan salah satu pidana yang bersifat alternatif dengan orientasi tujuan pemidanaan.","'Bagaimana ketentuan mengenai penjatuhan hukuman dalam KUHP ini?',"
31,Eksekusi Hukuman,Bagaimana prosedur eksekusi hukuman pidana mati diatur dalam KUHAP?,"Berikut merupakan prosedur eksekusi hukuman pidana mati:

1. Permohonan Eksekusi;

2. Telaah terhadap permohonan eksekusi dilaksanakan oleh Panitera Muda atau Tim yang ditugaskan oleh Ketua Pengadilan Negeri dan dituangkan dalam resume telaah eksekusi;

3. Apabila hasil resume telaah eksekusi permohonan tersebut dapat dilaksanakan, maka dilakukan penghitungan panjar biaya eksekusi dan  pemohon eksekusi dipersilahkan untuk melakukan pembayaran;

4. Ketua Pengadilan Negeri mengeluarkan penetapan peringatan eksekusi/Aanmaning setelah lebih dahulu ada permintaan eksekusi dari Pemohon Eksekusi (Penggugat/Pihak yang menang perkara), dengan mendasarkan pada Pasal 196 HIR atau Pasal 207 RBg. Penetapan peringatan eksekusi berisi perintah kepada Panitera/Juru sita/Juru sita Pengganti untuk memanggil pihak termohon eksekusi (Tergugat/Pihak yang kalah) untuk diperingatkan agar supaya memenuhi atau  menjalankan putusan.

5. Apabila termohon eksekusi (Tergugat/Pihak yang kalah) tidak hadir tanpa alasan setelah dipanggil secara sah dan patut, maka proses eksekusi dapat langsung diperintahkan oleh Ketua Pengadilan Negeri tanpa sidang insidentil untuk memberi peringatan, kecuali Ketua Pengadilan menganggap perlu untuk dipanggil sekali lagi.

6. Peringatan eksekusi dipimpin oleh Ketua Pengadilan Negeri harus dilakukan dalam pemeriksaan sidang insidentil, dibantu oleh Panitera, dengan dihadiri pihak termohon eksekusi (Tergugat/pihak yang kalah), serta apabila dipandang perlu dapat menghadirkan pemohon eksekusi (penggugat/pihak yang menang perkara).

7. Peringatan eksekusi dalam sidang insidentil tersebut dicatat dalam Berita Acara yang ditandatangani oleh Ketua Pengadilan Negeri dan Panitera.

8. Dalam peringatan eksekusi tersebut Ketua Pengadilan Negeri memperingatkan termohon eksekusi (tergugat/pihak yang kalah) agar memenuhi atau melaksanakan isi putusan paling lama 8 (delapan) hari terhitung sejak diberikan peringatan.

9. Apabila tenggang waktu terlampaui, dan tidak ada keterangan atau pernyataan dari pihak yang kalah tentang pemenuhan putusan, maka sejak saat itu pemohon dapat memohon kepada Ketua Pengadilan Negeri untuk
menindak lanjuti permohonan eksekusi tanpa harus mengajukan permohonan ulang dari pihak yang menang (Pasal 197 ayat 1 HIR/Pasal 208 ayat 1 RBg).

10. Apabila perkara sudah dilakukan sita jaminan (conservatoir beslaag), maka tidak perlu diperintahkan lagi sita eksekusi (executorial beslaag). Dan apabila dalam perkara tersebut tidak dilakukan sita jaminan sebelumnya, maka Ketua Pengadilan Negeri dapat mengeluarkan penetapan sita eksekusi. Dalam hal eksekusi pengosongan tidak selalu diletakkan sita eksekusi, dapat langsung dilaksanakan pengosongan tanpa penyitaan.

11. Dalam hal melaksanakan putusan yang memerintahkan untuk melakukan pengosongan (eksekusi riil), maka hari dan tanggal pelaksanaan pengosongan ditetapkan oleh Ketua Pengadilan Negeri, setelah dilakukan rapat koordinasi dengan aparat keamanan.

12. Apabila termohon eksekusi merupakan unsur TNI (yang masih aktif atau yang telah purnawirawan), maka harus melibatkan pengamanan Polisi Militer (PM).

13. Sebelum melakukan eksekusi pengosongan, terlebih dahulu dilakukan peninjauan lokasi tanah atau bangunan yang akan dikosongkan dengan melakukan pencocokan (konstatering) guna memastikan batas-batas dan
luas tanah yang bersangkutan sesuai dengan penetapan sita atau yang tertuang dalam amar putusan dengan dihadiri oleh panitera, jurusita/jurusita pengganti, pihak berkepentingan, aparat setempat dan jika diperlukan
menghadirkan petugas Badan Pertanahan Nasional, serta dituangkan dalam Berita Acara.

14. Dalam hal melakukan pemberitahuan eksekusi pengosongan dilakukan melalui surat (Surat Pemberitahuan) kepada pihak termohon eksekusi, harus dengan memperhatikan jangka waktu yang memadai dari tanggal pemberitahuan sampai pelaksanaan pengosongan.

15. Pengosongan dilaksanakan dan dilakukan dengan memperhatikan nilai kemanusiaan dan keadilan, dengan cara yang persuasif dan tidak arogan. Misalnya dengan memerintahkan pemohon eksekusi menyiapkan gudang penampungan guna menyimpan barang milik termohon eksekusi dalam waktu yang ditentukan, atas biaya pemohon.

16. Setelah pengosongan selesai dilaksanakan, tanah atau bangunan yang dikosongkan, maka pada hari itu juga segera diserahkan kepada pemohon eksekusi atau kuasanya yang dituangkan berita acara penyerahan, dengan dihadiri oleh aparat.","'Bagaimana prosedur eksekusi hukuman pidana mati diatur dalam KUHAP?',"
32,Pemidanaan,Bagaimana ketentuan mengenai pemidanaan anak diatur dalam KUHP ini?," Pemidanaan tindak pidana yang dilakukan anak diatur dalam KUHP baru (UU no. 1/2023) sebagai berikut:

Pasal 112:
Anak yang melakukan tindak pidana yang diancam dengan pidana penjara di bawah 7 (tujuh) tahun dan bukan merupakan pengulangan tindak pidana wajib diupayakan diversi.

Pasal 113:
(1) Setiap anak dapat dikenai tindakan berupa:
      a. Pengembalian kepada orang tua/wali.
      b. Penyerahan kepada seseorang.
      c. Perawatan di rumah sakit jiwa.
      d. Perawatan di lembaga.
      e. Kewajiban mengikuti pendidikan formal dan/atau pelatihan yang                     diadakan oleh pemerintah atau badan swasta.
      f. Pencabutan Surat Izin Mengemudi (SIM).
      g. Perbaikan akibat tindak pidana.
(2) Tindakan tersebut pada huruf d, e, dan f dikenakan paling lama 1 (satu) tahun.
(3) Anak di bawah umur 14 (empat belas) tahun tidak dapat dijatuhi pidana dan hanya dapat dikenai tindakan.

Pasal 114:
Pidana yang dapat dijatuhkan terhadap anak berupa pidana pokok dan pidana tambahan.

Pasal 115:
Pidana pokok terdiri atas:
a. Pidana peringatan.
b. Pidana dengan syarat:
     1. Pembinaan di luar lembaga.
     2. Pelayanan masyarakat.
     3. Pengawasan.
c. Pelatihan kerja.
d. Pembinaan dalam lembaga.
e. Pidana penjara.

Pasal 116:
Pidana tambahan sebagaimana dimaksud dalam Pasal 114
 huruf b terdiri atas:
 a. Perampasan keuntungan yang diperoleh dari Tindak
 Pidana; atau
 b. Pemenuhan kewajiban adat.

Pasal 117:
Ketentuan mengenai diversi, tindakan, dan pidana dilaksanakan sesuai dengan ketentuan peraturan perundang-undangan.","'Bagaimana ketentuan mengenai pemidanaan anak diatur dalam KUHP ini?',"
33,Pemidanaan,Bagaimana KUHP ini mengatur mengenai alternatif hukuman selain penjara?,"Alternatif hukuman selain penjara dalam KUHP baru (UU no. 1/2023) diatur dalam penjelasan Pasal 65 ayat (1) bahwa KUHAP baru tidak hanya berorientasi pada pidana penjara dan pidana denda semata. Adapun, pidana tutupan, pidana pengawasan, dan pidana kerja sosial merupakan pelaksanaan pidana alternatif.","'Bagaimana KUHP ini mengatur mengenai alternatif hukuman selain penjara?',"
34,Pelaksanaan Hukuman,Bagaimana pelaksanaan hukuman mati diatur dalam KUHP ini?,"Hukuman mati dalam KUHP baru atau UU no. 1 tahun 2023 diatur dalam Pasal 100, pada ayat (1) disebutkan bahwa, Hakim menjatukan pidana mati dengan masa percobaan selama 10 (sepuluh) tahun dengan memperhatikan:
a. Rasa penyesalan terdakwa dan ada harapan untuk memperbaiki diri.
b. Peran terdakwa dalam tindak pidana.

Akan tetapi, dalam pasal 100 ayat (6) juga menekankan bahwa, Jika terpidana selama masa percobaan sebagaimana dimaksud pada ayat (1) tidak menunjukkan sikap dan perbuatan yang terpuji serta tidak ada harapan untuk diperbaiki, pidana mati dapat dilaksanakan atas perintah Jaksa Agung.","'Bagaimana pelaksanaan hukuman mati diatur dalam KUHP ini?',"
35,Pelaksanaan Hukuman,Bagaimana ketentuan mengenai hukuman penjara diatur dalam KUHP ini?,"Hukuman penjara atau pidana penjara diatur dalam KUHP baru (UU no. 1/2023), tepatnya dijelaskan pada Pasal 68 hingga Pasal 70.

Pasal 68:
(1) Pidana penjara dijatuhkan untuk seumur hidup atau untuk waktu tertentu.
(2) Pidana penjara untuk waktu tertentu dijatuhkan paling lama 15 (lima belas) tahun berturut turut atau paling singkat 1 (satu) Hari, kecuali ditentukan minimum khusus. 
(3) Dalam hal terdapat pilihan antara pidana mati dan pidana penjara seumur hidup atau terdapat pemberatan pidana atas Tindak Pidana yang dijatuhi pidana penjara 15 (lima belas) tahun, pidana penjara untuk waktu tertentu dapat dijatuhkan untuk waktu 20 (dua puluh) tahun berturut turut.
(4) Pidana penjara untuk waktu tertentu tidak boleh dijatuhkan lebih dari 20 (dua puluh) tahun.

Pasal 69:
(1) Jika narapidana yang menjalani pidana penjara seumur hidup telah menjalani pidana penjara paling singkat 15 (lima belas) tahun, pidana penjara seumur hidup dapat diubah menjadi pidana penjara 20 (dua puluh) tahun dengan Keputusan Presiden setelah mendapatkan pertimbangan Mahkamah Agung.
(2) Ketentuan mengenai tata cara perubahan pidana penjara seumur hidup menjadi pidana penjara 20 (dua puluh) tahun sebagaimana dimaksud pada ayat (1) diatur dengan Peraturan Pemerintah.

Pasal 70:
(1) Dengan tetap mempertimbangkan ketentuan sebagaimana dimaksud dalam Pasal 51 sampai dengan Pasal 54, pidana penjara sedapat mungkin tidak dijatuhkan jika ditemukan keadaan:
       a. Terdakwa adalah Anak;
       b. Terdakwa berumur di atas 75 (tujuh puluh lima) tahun;
       c. Terdakwa baru pertama kali melakukan Tindak Pidana;
       d. Terugian dan penderitaan Korban tidak terlalu besar;
       e. Terdakwa telah membayar ganti rugi kepada Korban;
       f.  Terdakwa tidak menyadari bahwa Tindak Pidana yang dilakukan akan menimbulkan kerugian yang besar;
       g. Tindak Pidana terjadi karena hasutan yang sangat kuat dari orang lain;
       h. Korban Tindak Pidana mendorong atau menggerakkan terjadinya Tindak Pidana tersebut;
       i.  Tindak Pidana tersebut merupakan akibat dari suatu keadaan yang tidak mungkin terulang lagi;
       j.  Kepribadian dan perilaku terdakwa meyakinkan bahwa ia tidak akan melakukan Tindak Pidana yang lain;
       k. Pidana penjara akan menimbulkan penderitaan yang besar bagi terdakwa atau keluarganya;
       l. Pembinaan di luar lemb""ga pemasyarakatan diperkirakan akan berhasil untuk diri terdakwa;
       m. Penjatuhan pidana yang lebih ringan tidak akan mengurangi sifat berat Tindak Pidana yang dilakukan terdakwa;
       n. Tindak Pidana terjadi di kalangan keluarga; dan/ atau
       o. Tindak Pidana terjadi karena kealpaan.
(2) Ketentuan sebagaimana dimaksud pada ayat (1) tidak berlaku bagi:
       a. Tindak Pidana yang diancam dengan pidana penjara 5 (lima) tahun atau lebih;
       b. Tindak Pidana yang diancam dengan pidana minimum khusus;
       c. Tindak Pidana tertentu yang sangat membahayakan atau merugikan masyarakat; atau
       d. Tindak Pidana yang merugikan keuangan atau perekonomian negara.","'Bagaimana ketentuan mengenai hukuman penjara diatur dalam KUHP ini?',"
36,Pelaksanaan Hukuman,Bagaimana ketentuan mengenai hukuman denda diatur dalam KUHP ini?,"Hukuman denda atau pidana denda diatur dalam KUHP baru (UU no. 1/2023), tepatnya dijelaskan pada Pasal 71 hingga Pasal 72.

Pasal 71:
(1) Jika seseorang melakukan Tindak Pidana yang hanya diancam dengan pidana penjara di bawah 5 (lima) tahun, sedangkan hakim berpendapat tidak perlu menjatuhkan pidana penjara setelah mempertimbangkan tujuan pemidanaan dan pedoman pemidanaan sebagaimana dimaksud dalam Pasal 51 sampai dengan Pasal 54, orang tersebut dapat dijatuhi pidana denda.
(2) Pidana denda sebagaimana dimaksud pada ayat (1) hanya dapat dijatuhkan jika:
      a. Tanpa Korban;
      b. Korban tidak mempermasalahkan; atau
      c. Bukan pengulangan Tindak Pidana.
(3) Pidana denda yang dapat dijatuhkan berdasarkan ketentuan sebagaimana dimaksud pada ayat (1) adalah pidana denda paling banyak kategori V dan pidana denda paling sedikit kategori III.
(4) Ketentuan sebagaimana dimaksud pada ayat (2) huruf c tidak berlaku bagi orang yang pernah dijatuhi pidana penjara untuk Tindak Pidana yang dilakukan
 sebelum berumur 18 (delapan belas) tahun.

Pasal 72:
(1) Narapidana yang telah menjalani paling singkat 2/3 (dua per tiga) dari pidana penjara yang dijatuhkan dengan ketentuan 213 ldua per tiga) tersebut tidak kurang dari 9 (sembilan) Bulan dapat diberi pembebasan bersyarat.
(2) Narapidana yang menjalani beberapa pidana penjara berturut turut rlianggap jumlah pidananya sebagai 1 (satu) pidana.
(3) Dalam memberikan pembebasan bersyarat sebagaimana dimaksud pada ayat (1), ditentukan masa percobaan dan syarat yang harus dipenuhi selama masa percobaan.
(4) Masa percobaan sebagaimana dimaksud pada ayat (3) sama dengan sisa waktu pidana penjara yang belum dijalani ditambah dengan 1 (satu) tahun.
(5) Narapidana sebagaimana dimaksud pada ayat (1) yang ditahan sebagai tersangka atau terdakwa dalam perkara lain tidak diperhitungkan waktu penahanannya sebagai masa percobaan.","'Bagaimana ketentuan mengenai hukuman denda diatur dalam KUHP ini?',"
37,Pelaksanaan Hukuman,Apa yang diatur mengenai kerja sosial sebagai bentuk hukuman dalam KUHP ini?,"Hukum Pidana KUHP baru (UU NO. 1/2023) mengatur hukuman kerja sosial atau pidana kerja sosial dengan ketentuan tertentu melalui Pasal 85.

Pasal 85:
(1) Pidana kerja sosial dapat dijatuhkan kepada terdakwa yang melakukan Tindak Pidana yang diancam dengan pidana penjara kurang dari 5 (lima) tahun dan hakim menjatuhkan pidana penjara paling lama 6 (enam) Bulan atau pidana denda paling banyak kategori II.
(2) Dalam menjatuhkan pidana kerja sosial sebagaimana dimaksud pada ayat (1) hakim wajib mempertimbangkan:
      a. Pengakuan terdakwa terhadap Tindak Pidana yang dilakukan;
      b. Kemampuan kerja terdakwa;
      c. Persetqjuan terdakwa sesudah dijelaskan mengenai tujuan dan segala hal yang berhubungan dengan pidana kerja sosial;
      d. Riwayat sosial terdakwa;
      e. Pelindungan keselamatan kerja terdalwa;
      f.  Agama, kepercayaan, dan keyakinan politik terdakwa; dan
      g. Kemampuan terdakwa membayar pidana denda.
(3) Pelaksanaan pidana kerja sosial tidak boleh dikomersialkan.
(4) Pidana kerja sosial dijatuhkan paling singkat 8 (delapan) jam dan paling lama 240 (d:ua ratus empat puluh) jam.
(5) Pidana kerja sosial dilaksanakan paling lama 8 (delapan) jam dalam 1 (satu) Hari dan dapat diangsur dalam waktu paling lama 6 (enam) Bulan dengan memperhatikan kegiatan terpidana dalam menjalankan mata pencahariannya dan/ atau kegiatan lain yang bermanfaat.
(6) Pelaksanaan pidana kerja sosial sebagaimana dimaksud pada ayat (5) dimuat dalam putusan pengadilan.
(7) Putusan pengadilan sebagaimana dimaksud pada ayat (6) juga memuat perintah jika terpidana tanpa alasan yang sah tidak melaksanakan seluruh atau sebagian pidana kerja sosial, terpidana wajib:
      a. Mengulangi seluruh atau sebagian pidana kerja sosial tersebut;
      b. Menjalani seluruh atau sebagian pidana penjara yang diganti dengan pidana kerja sosial tersebut; atau
      c. Membayar seluruh atau sebagran pidana denda yang diganti dengan pidana keda sosial atau menjalani pidana penjara sebagai pengganti pidana denda yang tidak dibayar.
(8) Pengawasan terhadap pelaksanaan pidana kerja sosial dilakukan oleh jaksa dan pembimbingan dilakukan oleh pembimbing kemasyarakatan.
(9) Putusan pengadilan mengenai pidana kerja sosial juga harus memuat:
      a. lama pidana penjara atau besarnya denda yang sesungguhnya dijatuhkan oleh hakim;
      b. lama pidana kerja sosial harus dijalani, dengan mencantumkan jumlah jam per Hari dan jangka waktu penyelesaian pidana kerja sosial; dan
      c. sanksi jika terpidana tidak menjalani pidana kerja sosial yang dijatuhkan.","'Apa yang diatur mengenai kerja sosial sebagai bentuk hukuman dalam KUHP ini?',"
