JENIS KELAMIN KORBAN,USIA KORBAN,PEKERJAAN KORBAN,DAERAH TINGGAL KORBAN,TEMPAT KEJADIAN PENCURIAN,DAERAH PERISTIWA,WAKTU KEJADIAN,HARI KEJADIAN,PELAKU MENGGUNAKAN ALAT,SASARAN KEJAHATAN,JUMLAH KERUGIAN,MO,JENIS PENCURIAN,PASAL PENCURIAN
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,RABU,YA,BENDA TIDAK BERGERAK,KECIL,MERUSAK RUMAH,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,PAGI,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SORE,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,PAGI,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SABTU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,LANSIA,TENAGA PROFESIONAL,PEDESAAN,HALAMAN RUMAH,PEDESAAN,DINI HARI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PEDESAAN,SIANG,RABU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PEDESAAN,DALAM RUMAH,PEDESAAN,SIANG,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,LANSIA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,DALAM RUMAH,PEDESAAN,MALAM,SENIN,YA,BENDA TIDAK BERGERAK,BESAR,merusak brankas,CURAT,363 KUHP
LAKI-LAKI,DEWASA,POLRI,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,SELASA,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,LANSIA,WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,MALAM,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,PAGI,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PEDESAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PINGGIRAN KOTA,MALAM,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,DINI HARI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,POLRI,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,DINI HARI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PINGGIRAN KOTA,DALAM RUMAH,PERKOTAAN,SIANG,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,DINI HARI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PEDESAAN,MALAM,RABU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,SORE,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,MANULA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PERKOTAAN,SIANG,SABTU,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,SABTU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PEDESAAN,SORE,SENIN,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SIANG,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,DINI HARI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TENAGA PROFESIONAL,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,PAGI,RABU,TIDAK,GABUNGAN,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,MINGGU,YA,GABUNGAN,BESAR,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PERKOTAAN,JALAN RAYA,PERKOTAAN,SORE,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,MALAM,RABU,TIDAK,BENDA BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,SABTU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,PEKERJA KASAR,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA toko,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,SORE,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PEDESAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PEDESAAN,PAGI,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SORE,JUMAT,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PINGGIRAN KOTA,JALAN RAYA,PERKOTAAN,PAGI,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PEDESAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,LANSIA,PEKERJA KASAR,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SORE,MINGGU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,DINI HARI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA PROFESIONAL,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,SENIN,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,LANSIA,TENAGA PROFESIONAL,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA PROFESIONAL,PERKOTAAN,JALAN RAYA,PERKOTAAN,SORE,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,DINI HARI,SABTU,YA,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,SABTU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,REMAJA,WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,DINI HARI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,SENIN,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PERKOTAAN,MALAM,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,LANSIA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SELASA,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,MALAM,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,SIANG,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,PEKERJA KASAR,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,RABU,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,DINI HARI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TENAGA PROFESIONAL,PERKOTAAN,AREA PARKIR,PERKOTAAN,SORE,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,POLRI,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SORE,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,LANSIA,WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,SIANG,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,LANSIA,WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,PEKERJA KASAR,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,SABTU,YA,GABUNGAN,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SORE,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,MALAM,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PEDESAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,SORE,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,SELASA,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PINGGIRAN KOTA,SIANG,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,SELASA,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,DALAM RUMAH,PEDESAAN,DINI HARI,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SORE,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SORE,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SORE,RABU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SELASA,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,SIANG,KAMIS,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PEDESAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
